ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,Apple_irr_2030y_SOC
Afghanistan,Afghanistan,41.21005542512496,cf_mean,Apple_irr_2030y_SOC
Aksai Chin,,,cf_mean,Apple_irr_2030y_SOC
Albania,Albania,59.28206295016995,cf_mean,Apple_irr_2030y_SOC
Algeria,Algeria,33.99880638298055,cf_mean,Apple_irr_2030y_SOC
American Samoa,,,cf_mean,Apple_irr_2030y_SOC
Andorra,Andorra,78.49300308992275,cf_mean,Apple_irr_2030y_SOC
Angola,,,cf_mean,Apple_irr_2030y_SOC
Anguilla,,,cf_mean,Apple_irr_2030y_SOC
Antarctica,,,cf_mean,Apple_irr_2030y_SOC
Antigua and Barbuda,,,cf_mean,Apple_irr_2030y_SOC
Argentina,Argentina,43.44947962811994,cf_mean,Apple_irr_2030y_SOC
Armenia,,,cf_mean,Apple_irr_2030y_SOC
Aruba,,,cf_mean,Apple_irr_2030y_SOC
Arunachal Pradesh,Arunachal Pradesh,63.49144427944459,cf_mean,Apple_irr_2030y_SOC
Ashmore and Cartier Islands,,,cf_mean,Apple_irr_2030y_SOC
Australia,Australia,32.78510304465729,cf_mean,Apple_irr_2030y_SOC
Austria,,,cf_mean,Apple_irr_2030y_SOC
Azerbaijan,Azerbaijan,55.539805027534754,cf_mean,Apple_irr_2030y_SOC
Azores Islands,,,cf_mean,Apple_irr_2030y_SOC
Bahamas,,,cf_mean,Apple_irr_2030y_SOC
Bahrain,,,cf_mean,Apple_irr_2030y_SOC
Baker Island,,,cf_mean,Apple_irr_2030y_SOC
Bangladesh,Bangladesh,45.577199629423475,cf_mean,Apple_irr_2030y_SOC
Barbados,,,cf_mean,Apple_irr_2030y_SOC
Bassas da India,,,cf_mean,Apple_irr_2030y_SOC
Belarus,,,cf_mean,Apple_irr_2030y_SOC
Belgium,Belgium,58.22519516156645,cf_mean,Apple_irr_2030y_SOC
Belize,Belize,69.5122303124326,cf_mean,Apple_irr_2030y_SOC
Benin,,,cf_mean,Apple_irr_2030y_SOC
Bermuda,,,cf_mean,Apple_irr_2030y_SOC
Bhutan,Bhutan,63.759228053967995,cf_mean,Apple_irr_2030y_SOC
Bird Island,,,cf_mean,Apple_irr_2030y_SOC
Bolivia,Bolivia,47.57418563370738,cf_mean,Apple_irr_2030y_SOC
Bosnia and Herzegovina,Bosnia and Herzegovina,80.2323598099011,cf_mean,Apple_irr_2030y_SOC
Botswana,Botswana,22.604723015192956,cf_mean,Apple_irr_2030y_SOC
Bouvet Island,,,cf_mean,Apple_irr_2030y_SOC
Brazil,Brazil,44.98960547881302,cf_mean,Apple_irr_2030y_SOC
British Indian Ocean Territory,,,cf_mean,Apple_irr_2030y_SOC
British Virgin Islands,,,cf_mean,Apple_irr_2030y_SOC
Brunei Darussalam,,,cf_mean,Apple_irr_2030y_SOC
Bulgaria,,,cf_mean,Apple_irr_2030y_SOC
Burkina Faso,,,cf_mean,Apple_irr_2030y_SOC
Burundi,,,cf_mean,Apple_irr_2030y_SOC
Cambodia,,,cf_mean,Apple_irr_2030y_SOC
Cameroon,,,cf_mean,Apple_irr_2030y_SOC
Canada,,,cf_mean,Apple_irr_2030y_SOC
Cape Verde,,,cf_mean,Apple_irr_2030y_SOC
Cayman Islands,,,cf_mean,Apple_irr_2030y_SOC
Central African Republic,,,cf_mean,Apple_irr_2030y_SOC
Chad,,,cf_mean,Apple_irr_2030y_SOC
Chile,Chile,83.39287898268284,cf_mean,Apple_irr_2030y_SOC
China,China,59.33588640389326,cf_mean,Apple_irr_2030y_SOC
China/India,China/India,69.72200704218112,cf_mean,Apple_irr_2030y_SOC
Christmas Island,,,cf_mean,Apple_irr_2030y_SOC
Clipperton Island,,,cf_mean,Apple_irr_2030y_SOC
Cocos (Keeling) Islands,,,cf_mean,Apple_irr_2030y_SOC
Colombia,Colombia,62.8019333407156,cf_mean,Apple_irr_2030y_SOC
Comoros,,,cf_mean,Apple_irr_2030y_SOC
Congo,,,cf_mean,Apple_irr_2030y_SOC
Cook Islands,,,cf_mean,Apple_irr_2030y_SOC
Costa Rica,,,cf_mean,Apple_irr_2030y_SOC
Croatia,Croatia,70.46550099877294,cf_mean,Apple_irr_2030y_SOC
Cuba,,,cf_mean,Apple_irr_2030y_SOC
Cyprus,Cyprus,39.01007695005246,cf_mean,Apple_irr_2030y_SOC
Czech Republic,,,cf_mean,Apple_irr_2030y_SOC
Côte d'Ivoire,,,cf_mean,Apple_irr_2030y_SOC
Dem People's Rep of Korea,,,cf_mean,Apple_irr_2030y_SOC
Democratic Republic of the Congo,,,cf_mean,Apple_irr_2030y_SOC
Denmark,,,cf_mean,Apple_irr_2030y_SOC
Djibouti,,,cf_mean,Apple_irr_2030y_SOC
Dominica,,,cf_mean,Apple_irr_2030y_SOC
