ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Afghanistan,Afghanistan,30.81145373974626,cf_mean,Barley_irr_roff_rt_2030y_SOC
Aksai Chin,Aksai Chin,32.28968402759321,cf_mean,Barley_irr_roff_rt_2030y_SOC
Albania,Albania,43.13488094020572,cf_mean,Barley_irr_roff_rt_2030y_SOC
Algeria,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
American Samoa,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Andorra,Andorra,49.94616134610769,cf_mean,Barley_irr_roff_rt_2030y_SOC
Angola,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Anguilla,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Antarctica,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Antigua and Barbuda,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Argentina,Argentina,24.20299802779279,cf_mean,Barley_irr_roff_rt_2030y_SOC
Armenia,Armenia,42.784970086166304,cf_mean,Barley_irr_roff_rt_2030y_SOC
Aruba,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Arunachal Pradesh,Arunachal Pradesh,42.19160420066457,cf_mean,Barley_irr_roff_rt_2030y_SOC
Ashmore and Cartier Islands,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Australia,Australia,18.650602984347625,cf_mean,Barley_irr_roff_rt_2030y_SOC
Austria,Austria,42.349302716606616,cf_mean,Barley_irr_roff_rt_2030y_SOC
Azerbaijan,Azerbaijan,38.84640545960346,cf_mean,Barley_irr_roff_rt_2030y_SOC
Azores Islands,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bahamas,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bahrain,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Baker Island,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bangladesh,Bangladesh,20.12327794550366,cf_mean,Barley_irr_roff_rt_2030y_SOC
Barbados,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bassas da India,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Belarus,Belarus,36.18133923041655,cf_mean,Barley_irr_roff_rt_2030y_SOC
Belgium,Belgium,40.51479226507606,cf_mean,Barley_irr_roff_rt_2030y_SOC
Belize,Belize,33.17347622947855,cf_mean,Barley_irr_roff_rt_2030y_SOC
Benin,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bermuda,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bhutan,Bhutan,46.21254678584963,cf_mean,Barley_irr_roff_rt_2030y_SOC
Bird Island,,,cf_mean,Barley_irr_roff_rt_2030y_SOC
