ADM0_NAME,country,value,metric,flow_name
Abyei,Abyei,0.9973235830316023,cf_mean,nh3
Afghanistan,Afghanistan,3.747787338797678,cf_mean,nh3
Aksai Chin,Aksai Chin,5.1878812990693115,cf_mean,nh3
Albania,Albania,2.305967176061263,cf_mean,nh3
Algeria,Algeria,1.0218234846763667,cf_mean,nh3
American Samoa,American Samoa,0.0054345253522340735,cf_mean,nh3
Andorra,Andorra,3.372956863790347,cf_mean,nh3
Angola,Angola,0.8261154033114314,cf_mean,nh3
Anguilla,Anguilla,0.5822328091617575,cf_mean,nh3
Antarctica,Antarctica,0.00011241362965011817,cf_mean,nh3
Antigua and Barbuda,Antigua and Barbuda,0.5990779536641807,cf_mean,nh3
Argentina,Argentina,0.6580412704045202,cf_mean,nh3
Armenia,Armenia,3.644156080745853,cf_mean,nh3
Aruba,Aruba,0.5077657254157358,cf_mean,nh3
Arunachal Pradesh,Arunachal Pradesh,2.546260759771533,cf_mean,nh3
Ashmore and Cartier Islands,,,cf_mean,nh3
Australia,Australia,0.4594269027715661,cf_mean,nh3
Austria,Austria,7.343093215116961,cf_mean,nh3
Azerbaijan,Azerbaijan,2.7425588630944424,cf_mean,nh3
Azores Islands,Azores Islands,0.3420287302539099,cf_mean,nh3
Bahamas,Bahamas,1.0005676146610178,cf_mean,nh3
Bahrain,Bahrain,2.157576098204989,cf_mean,nh3
Baker Island,,,cf_mean,nh3
Bangladesh,Bangladesh,0.7278259274691373,cf_mean,nh3
Barbados,Barbados,0.5877045340005156,cf_mean,nh3
Bassas da India,,,cf_mean,nh3
Belarus,Belarus,2.669167873484636,cf_mean,nh3
Belgium,Belgium,4.740327855024871,cf_mean,nh3
Belize,Belize,0.6191879927826843,cf_mean,nh3
Benin,Benin,0.5453720923265327,cf_mean,nh3
Bermuda,Bermuda,0.6037995133856778,cf_mean,nh3
Bhutan,Bhutan,3.6329009859016574,cf_mean,nh3
Bird Island,,,cf_mean,nh3
Bolivia,Bolivia,1.4101984019230263,cf_mean,nh3
Bosnia and Herzegovina,Bosnia and Herzegovina,4.886454291490547,cf_mean,nh3
Botswana,Botswana,1.2982394868252844,cf_mean,nh3
Bouvet Island,,,cf_mean,nh3
Brazil,Brazil,1.3540207118506964,cf_mean,nh3
British Indian Ocean Territory,,,cf_mean,nh3
British Virgin Islands,British Virgin Islands,0.5822328091617575,cf_mean,nh3
Brunei Darussalam,Brunei Darussalam,0.3192840089379162,cf_mean,nh3
Bulgaria,Bulgaria,2.389771908839566,cf_mean,nh3
