country,imp_cat,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.18035276146733642,0.08444521754335364,0.24835186382320673
Chile,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.8059044591746546,0.45300657633356306,0.9462880916288214
Argentina,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.04280888375304363,0.010921213555789455,0.08807542839793646
Turkmenistan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.00980960596952527,0.0070799957873515515,0.010045206114126539
Uzbekistan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.021569008930999292,0.0050723470321491024,0.056216059290964675
Tajikistan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.4795780242090451,0.3081242766125014,0.502004441877589
Kyrgyzstan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.27894479649552517,0.20059115292513033,0.2599725437164811
Kazakhstan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.013332364240760241,0.005200245378107151,0.03161307419226395
Mongolia,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.0732546168662064,0.032822041024071304,0.09278438947308827
Republic of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,1.9507388272587742,1.7889471229196214,1.2231124520562913
Dem People's Rep of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,1.1892375857934625,0.8636197845317383,0.994673616329354
Japan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,2.4765724481151867,1.4479082239668286,3.0691961432252057
China,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.19130584091657804,0.0767067799916873,0.2891336067044782
Iran  (Islamic Republic of),se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.06268565464866842,0.03107240744091396,0.07369519930013399
Afghanistan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.07317715518084313,0.016890496000662687,0.10464795658753487
Turkey,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.09949621600710623,0.06097604042337486,0.10611237058697318
Iraq,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.23925632840668115,0.1167730525224148,0.17454604565964585
Georgia,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.6301535826770289,0.5226963521437992,0.5302586894122515
Azerbaijan,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.17552855634670664,0.07067499514037204,0.22966233298213096
Armenia,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.18991652137483106,0.17109737369762143,0.14367803045872116
"Moldova, Republic of",se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.04955526586627782,0.049652444441931114,0.02493598379485659
Hungary,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.028914227681223956,0.016455439493477504,0.027060219310732554
Poland,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.01777734641300758,0.01043316684614098,0.022145387443203463
Romania,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.10282090245896487,0.06697682958230752,0.09784293377017203
Ukraine,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.021372567784913397,0.012980518486024599,0.025546979742605024
Belarus,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.009645033584584465,0.008783023434618387,0.003510960283374021
Czech Republic,se_rate,Broadleaf_Deciduous_Cold_temperate_dry,t soil/ha/yr,0.04885636645133789,0.03287068627602013,0.04297945420512956
