country,imp_cat,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.1871120312988105,0.0883599663863994,0.2580851009846455
Chile,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.7258875495095983,0.3500100730933468,0.929120760348174
Argentina,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.040011298616567464,0.011173442282258042,0.07892473216368233
Turkmenistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.00980960596952527,0.0070799957873515515,0.010045206114126539
Uzbekistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.02159624642489706,0.0050723470321491024,0.05621030588133802
Tajikistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.46243540755884227,0.3081242766125014,0.48375679157501955
Kyrgyzstan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.2975155657754163,0.20256112340460064,0.28965685608043507
Kazakhstan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.01332013854305752,0.005200245378107151,0.031549341311149934
Mongolia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.06931728721451834,0.028894504912417393,0.08922330867487711
Republic of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,1.9507388272587742,1.7889471229196214,1.2231124520562913
Dem People's Rep of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,1.1892375857934625,0.8636197845317383,0.994673616329354
Japan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,2.4765724481151867,1.4479082239668286,3.0691961432252057
China,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.19019573095795253,0.07598560608493819,0.28864802882113183
Iran  (Islamic Republic of),se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.06268565464866842,0.03107240744091396,0.07369519930013399
Afghanistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist,t soil/ha/yr,0.07317715518084313,0.016890496000662687,0.10464795658753487
