country,imp_cat,flow_name,Unit,cf,cf_median,cf_std
Morocco,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.13471458662095923,0.05241679750873969,0.16638484620379004
Libya,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.02140423445941461,0.008717130942001813,0.024863133627748817
Tunisia,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.06371233196938259,0.02896373162169983,0.08645014815341144
Algeria,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.0786308943374187,0.02846255887189036,0.10822210408348291
Namibia,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.49253578376975493,0.6597833400587314,0.4667596274305669
Swaziland,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.08403781788742574,0.07307802877218342,0.03664175000097159
Lesotho,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.6986817019085855,0.6300140833280806,0.32899021648913773
South Africa,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.16395288186535392,0.06953757258169431,0.2246899904357491
Botswana,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.014538865422665654,0.013964182608490305,0.0031245080177775106
Mexico,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.16871160829895274,0.0801476213028148,0.21229181089429583
United States of America,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.16728882066340692,0.11288616907303722,0.1823640718434043
Paraguay,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.27446490093009923,0.17913429875605746,0.25719943915211635
Uruguay,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.1119521382643105,0.09524142937015208,0.06773119024108629
Chile,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.46197356981724325,0.2856888184563683,0.5015297736206635
Brazil,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.8059939455446128,0.3904821423414056,0.9685479344970831
Argentina,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.07965674752093668,0.050104140536824424,0.11846435872478447
Turkmenistan,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.0528410869534204,0.02720125476276451,0.06025105459242375
Uzbekistan,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.1373023095741617,0.04789460472040115,0.19254204024942095
Tajikistan,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.43597924611599165,0.3493878934399516,0.37724056551285856
Taiwan,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,3.8827792616676122,3.014627034768135,3.2774951275900053
Republic of Korea,se_rate,Broadleaf_Deciduous_Subtropical,t soil/ha/yr,0.2511622749794965,0.23165048577148295,0.1046183498377777
