country,impact_category,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.19913462447622884,0.07232580379728402,0.4017515662842377
Chile,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.652080982201144,0.23389716940264854,0.9493667911660285
Argentina,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.03746502958488559,0.007633779401303551,0.12232122449574677
Turkmenistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.011846425002827388,0.007241944057593247,0.018765362377939795
Uzbekistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.038459431570178025,0.005974894035224792,0.11674646129387223
Tajikistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.36481555916146785,0.2224359197049549,0.41616753047948185
Kyrgyzstan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.2822221642898772,0.1635080472402241,0.33354542246074964
Kazakhstan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.01761905136478238,0.005090772034416743,0.07554435688572034
Mongolia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.07596274150786225,0.021168821111983458,0.14358834356416608
Republic of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,2.0168900579298494,1.71328518298489,1.7609454032345273
Dem People's Rep of Korea,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,1.1891111742296248,0.7117154267939948,1.2361075510734176
Japan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,2.2439172323367833,1.0548972367552092,3.166990738927164
China,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.2026157239672536,0.05810533228728876,0.44509744696991327
Iran  (Islamic Republic of),se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.06641031262680203,0.027783866689039063,0.0892394728780984
Afghanistan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.05599235823608476,0.01669397582589439,0.07635633049775005
Turkey,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.10005740975751229,0.04901148224466701,0.13407836211851137
Iraq,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.24311582464956782,0.1519615176043409,0.16225401710032977
Georgia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.6076927921663684,0.36968413320655197,0.6840709169856031
Azerbaijan,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.18492599433750356,0.03572908596513244,0.28558242578134074
Armenia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.2066000507337041,0.1797102821269256,0.18718584981218664
"Moldova, Republic of",se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.050989213980821166,0.04095205603763086,0.04188743205477195
Hungary,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.030111188363992528,0.0136306534790468,0.04706137739467976
Poland,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.019798239651018883,0.008934826010271946,0.040194637874927906
Romania,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.10401843988277307,0.050218933491095526,0.1268645649098769
Ukraine,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.02428911558138966,0.011515166064204923,0.047845603419269286
Belarus,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.009821534767073503,0.00799300603511585,0.006436240775043833
Czech Republic,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.05170897053557206,0.027263491590234033,0.07506987419349874
Russian Federation,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.06296547695801948,0.012502849570400638,0.13736067957251813
Slovakia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.13856753309412112,0.07586249981865832,0.15859922785052288
Bulgaria,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.11793234094858396,0.06657105661332201,0.1261402067067458
Norway,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.4309010603505773,0.116995581213244,0.7441170342016374
Sweden,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.019132829428594372,0.01233398249277197,0.02280833067548717
Lithuania,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.011820909335024539,0.010047852629097704,0.0063069547244294175
Latvia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.014812722305416883,0.011694935468084592,0.010614162684997208
Ireland,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.06234585453660843,0.023182842453295084,0.12788802357254428
U.K. of Great Britain and Northern Ireland,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.12245474177479106,0.027743582649406243,0.28417638220093666
Finland,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.009816515279878884,0.007018452594152595,0.008387534242218005
Estonia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.012080600442062403,0.009799374128759303,0.007623448224928668
Denmark,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.015194588069606363,0.01221337887366052,0.00986932781297171
The former Yugoslav Republic of Macedonia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.23561901821108788,0.15518197250334254,0.20972684705325628
Montenegro,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.5501757749633153,0.4636940403399502,0.35952892133798386
Croatia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.2609694700941166,0.09175492746566724,0.38728959677368724
Slovenia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.7443131687740796,0.5779662881049957,0.7457045645071724
Greece,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.15054398555160745,0.05290133474519344,0.20073074739837587
Italy,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.47466985679802604,0.12571471154593805,0.6371688687883186
Serbia,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.1917221810339326,0.08859328798653303,0.2401386679053928
Bosnia and Herzegovina,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.46332885626336184,0.36060562762202686,0.45208718810034065
Albania,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,1.182201555624882,1.0833925212981141,0.7879697289937668
Netherlands,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.008182285304697648,0.0068386047423966015,0.004039487788531419
Luxembourg,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.15304040704142796,0.10387354269990046,0.20416441980170072
France,se_rate,Broadleaf_Deciduous_Cold_temperate_moist.tif,t soil/ha/yr,0.08487777780555134,0.020962033767376556,0.21426205158740852
