country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.2710315974000485,0.11252693652275603,0.6347730898119767
Malawi,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.7066324724314341,0.2221329124542619,1.2012990707617381
Rwanda,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.123229143876605,0.749337081339797,1.0900656699501319
Somalia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.041068111846038584,0.026813989413404488,0.06281040075641466
Zambia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.17143789940124832,0.09798641747031217,0.27962741703839855
Kenya,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.16880491030033146,0.053531245432150695,0.3780730000037754
Madagascar,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.0082880684288686,0.39490023902683585,1.5775766757970193
South Sudan,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.09416157169741937,0.05451012810714739,0.259273736101394
United Republic of Tanzania,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.4009863159489783,0.1356104625775401,0.7477685348076708
Uganda,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.27048658748290133,0.12935726993317445,0.4988217465099631
Zimbabwe,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.2252575358868564,0.09870020886978734,0.4224678561664233
Ilemi triangle,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.04093643175394942,0.03147546420143763,0.018944268802534237
Ethiopia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.491527677911879,0.12860877466936044,0.8212909966962273
Eritrea,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.3824235008685924,0.13182409717636964,0.5636108511476904
Djibouti,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.1762420168917239,0.02881824273913448,0.3210402126544893
Comoros,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,5.645720943986834,5.645720943986834,0.0
Burundi,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.7861190033424095,0.44911275976737597,0.8487923678504111
Gabon,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.5433818149245793,0.346781368563786,0.5574379213001194
Equatorial Guinea,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.7873984671940054,0.43659452706340723,1.0886093320327517
Chad,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.0505760335850342,0.03440808904001974,0.1111366454244108
Congo,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.3251600881456162,0.1884924030038201,0.394581581702212
Democratic Republic of the Congo,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.4282919220640027,0.22508564057392202,0.621826486466961
Cameroon,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.5687388677422214,0.2767832242246734,0.978246894468119
Central African Republic,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.17703217201685545,0.12392013752427587,0.20120270006584165
Angola,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.1995614067693945,0.09741698393297876,0.33521408580299955
Sudan,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.04124156425408628,0.025588058480948372,0.10346843314907042
Abyei,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.04005640443551044,0.03531907001861869,0.010875108468241216
Namibia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.06891585917159643,0.03285941396760482,0.1464800470611825
Swaziland,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.8044188432703603,0.6123649951262677,0.6812850926210837
South Africa,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.32113677204917973,0.10638192377794747,0.607411033528604
Botswana,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.029957201187599994,0.024254304296098945,0.024526314246841457
Togo,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.29010992407332636,0.13502049408400704,0.675964630836065
Sierra Leone,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.748082077494318,0.2689317983008699,1.3672469722243685
Senegal,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.0507752496240859,0.03846096124226045,0.058318931611313594
Nigeria,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.2452550636722112,0.10230713076550431,0.5708240690281123
Niger,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.029422046294693277,0.02300898392936375,0.033086619910013666
Mauritania,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.03559228401509243,0.022074760255386836,0.08461595774063638
Mali,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.07041352181332754,0.040876628174685056,0.13538963357650155
Liberia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.6038239216388674,0.3885823324835523,0.681119726595521
Guinea-Bissau,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.1415949554487086,0.10801965769889622,0.12481765444329979
Gambia,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.07204161628636219,0.06821507406851221,0.044123255887796906
Guinea,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.4424517045174159,0.187100337318691,0.747871090831144
Ghana,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.24985976190191336,0.15128643246157403,0.36356186601288093
Côte d'Ivoire,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.3010441554941509,0.19085825207177887,0.5060381354532142
Burkina Faso,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.06867273386509057,0.051223753392450055,0.07167004356196836
Benin,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.13993917323070054,0.1052857310892613,0.25193709719435287
Dominican Republic,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.9916386590820094,0.3979279512280122,1.1867375448804645
Martinique,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.8121638739939288,1.8121638739939288,0.0
Cuba,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.46427068852499115,0.18197426555277801,0.9121714144008535
Jamaica,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,2.0644577608594754,1.712697169736063,2.0998129023488037
Trinidad and Tobago,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.1231353375845512,0.2756001893623314,1.934642281520724
Bahamas,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.13592073263069562,0.12167572249263993,0.06424115719543949
Saint Vincent and the Grenadines,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,2.0013480651828077,2.0013480651828077,0.0
Haiti,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,2.2774274545492315,1.0977494432011288,2.6205564946053292
Puerto Rico,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.2942340187214059,0.5710889931130111,1.451217246953137
Panama,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,2.7261252312577895,1.510310697969778,3.4494270075913325
El Salvador,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.60809548300626,0.8664516249218936,2.0154646220570136
Nicaragua,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.9319102931376659,0.36110949488640154,1.1767051140530176
Mexico,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,0.658782455187401,0.21632973644625078,1.019816709683541
Honduras,se_rate,Broadleaf_Deciduous_Tropical.tif,t soil/ha/yr,1.647829468476697,1.222750678010686,1.7019402587415926
