country,impact_category,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.22908633450872598,0.09040230036784379,0.42058518603860023
Chile,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.8468691184508418,0.4760276459349012,1.0256227698797642
Argentina,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.31779571394371514,0.24722176303735788,0.3194843000756797
Turkmenistan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.011846425002827388,0.007241944057593247,0.018765362377939795
Uzbekistan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.04136327855489373,0.006427697947071737,0.12066446282639168
Tajikistan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.2928124461207502,0.1719321678212446,0.3701477003620974
Kyrgyzstan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.278145801353125,0.16195033619258387,0.32642512225240344
Kazakhstan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.021023030550385156,0.005195052035950297,0.08471655526510571
Mongolia,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.06091437043743986,0.017904398542551953,0.12163654353589551
Republic of Korea,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,2.0168900579298494,1.71328518298489,1.7609454032345273
Dem People's Rep of Korea,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,1.1987526796976182,0.7172340538989607,1.2389989588887589
Japan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,2.2439172323367833,1.0548972367552092,3.166990738927164
China,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.2059772452299056,0.057787223663057156,0.4589088544711477
Iran  (Islamic Republic of),se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.059343415608070695,0.019462146096011067,0.09555593274234318
Afghanistan,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.05599235823608476,0.01669397582589439,0.07635633049775005
Turkey,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.09990489519120346,0.048992023242052915,0.13410989020683978
Iraq,se_rate,Broadleaf_Deciduous_Warm_temperate_dry.tif,t soil/ha/yr,0.4710599662158498,0.4710599662158498,0.0
