country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,13.826375956541204,5.598449206171712,32.526143697459254
Somalia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,2.4395361630664834,1.424832468961092,3.839415052864003
Zambia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,17.346037042301248,17.346037042301248,0.0
United Republic of Tanzania,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,52.6972257387184,52.6972257387184,0.0
Zimbabwe,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,87.42878769232992,5.405069642392137,162.67330073144092
Ethiopia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,1.3137427966879125,1.4166279597403948,0.320324912882734
Senegal,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,2.4005188913417523,1.8682523030215925,2.397685808132161
Mali,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,4.226143477530692,3.3872195531257354,1.294128175756465
Guinea-Bissau,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,7.149775281726667,5.400983052613386,6.335230768832485
Guinea,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,14.993240346857949,6.152389433328533,30.58757585661846
Côte d'Ivoire,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,9.830636192391081,8.246189138130402,5.589065185121966
Dominican Republic,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,47.15344355624937,19.620944779001753,59.03584180613519
Puerto Rico,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,64.71170294498587,28.55445054209733,72.56086460024248
Panama,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,255.9653368111544,255.96533681115443,2.842170943040401e-14
Nicaragua,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,59.13305126073359,69.57617437313947,37.73308131258173
Mexico,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,28.705886226542546,8.45030149469786,47.384051684422545
Honduras,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,82.41049649545809,65.13252261931575,83.56785395712217
Guatemala,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,59.610775812343185,27.395568031737785,71.7471961720089
Costa Rica,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,115.33791042572265,38.522277015916046,155.0206522366335
Belize,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,37.17826528848879,12.164982137508407,65.78144402308736
United States of America,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,13.18658816880693,3.141400847291038,18.088601076229057
Colombia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,71.56626014462456,15.12744385216939,120.80574636492739
Ecuador,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,98.04213165711741,33.29951642022291,152.00194822725305
Venezuela,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,37.72231909774245,9.228084179705268,67.52141290532073
Peru,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,39.6321241915795,16.665241733733613,33.70960900072818
Brazil,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,89.04747621355871,21.80910697069227,98.55665182060449
Argentina,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,40.47005003437645,40.47005003437645,0.0
China,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,138.08753817255274,82.103627017828,150.82266401047764
Myanmar,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,78.81931418156294,63.413221775988646,60.93638489940085
Cambodia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,10.974452254320532,7.577164357828832,5.956849209496253
Viet Nam,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,126.91533503366298,67.3598534208274,147.84172493450018
Lao People's Democratic Republic,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,96.04328234563285,86.70449758386668,64.12046815858567
Malaysia,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,31.534113908928955,8.449569192268575,61.01966419064278
Thailand,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,47.79433779414241,13.038511619449373,69.22045168538756
Brunei Darussalam,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,30.024657510499782,8.619937703748818,37.971925719632566
Nepal,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,7.711230167105441,7.711230167105442,8.881784197001252e-16
Pakistan,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,14.00355248471748,3.3396920559157004,34.29518959342938
India,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,5.937660307975175,4.590593472106893,8.485927947621654
Jammu and Kashmir,se_rate,Irrigated_Coconuts.tif,t soil/ha/yr,69.94162329827458,6.628766294603356,109.80521521680016
