country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,17.453303646276435,8.172948468617443,40.64211002956379
Malawi,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,15.207827707562704,8.896115220792986,17.402018788091976
Zambia,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,9.55247580832026,5.1881276381654144,7.909096756164684
Kenya,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,14.578972165850523,5.036961908516753,29.967729344157668
United Republic of Tanzania,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,41.633613124325144,13.004260342025365,28.62935278229978
Zimbabwe,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,15.424147013525072,6.666267570140223,28.306693406986717
Ethiopia,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,16.93629860251353,8.164259455148278,8.772039147365252
Botswana,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,2.512542837786763,2.512542837786763,0.0
Puerto Rico,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,91.54616734537714,38.07259977725321,102.13414770487721
El Salvador,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,106.03792786759654,36.57762916094188,139.31039854821114
Nicaragua,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,91.37328570792344,35.87734574796631,55.495939959957134
Honduras,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,99.703035188614,68.9635650901886,96.51392396467641
Costa Rica,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,157.73670476866062,70.39982356358698,203.85100072988152
Colombia,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,9.495081228191966,8.014505230065897,4.6096654892206015
Ecuador,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,136.37663745475297,57.928101276580094,198.74481011486264
Venezuela,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,48.637567742055786,11.78989974300221,89.90478383591483
Peru,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,76.3522416843718,54.33488598550925,41.964200558826334
Brazil,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,285.9560008802708,192.78126177998251,93.17473910028826
Nepal,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,10.281639967459968,10.281639967459968,0.0
Pakistan,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,3.5687819658266595,2.482600201274967,1.6228353327737302
India,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,29.219800891680812,7.125176129200007,72.04220746675816
Jammu and Kashmir,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,8.451378761056207,8.675676068884615,1.0661075004882044
Bangladesh,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,172.833472954228,172.833472954228,0.0
Saudi Arabia,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,14.14496920805111,13.476897581028458,0.6680716270226519
Yemen,se_rate,Irrigated_Coffee.tif,t soil/ha/yr,12.769427091517095,4.8148617996081935,17.753059283859308
