country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,11.816963736366302,8.619606659702757,5.749726924851258
Rwanda,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,41.749915308868,41.749915308868,0.0
Somalia,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,4.676595060845215,2.925927296938669,7.337278001124187
Kenya,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,70.90991438234545,20.066037740998315,110.93582754577943
South Sudan,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,6.115204161509482,5.30874819318519,2.762232319852542
United Republic of Tanzania,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,42.97867965964549,15.030004646287857,80.55799002609173
Ethiopia,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,52.894106676746034,13.374120457925208,90.25218115628074
Eritrea,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,3.4315920193257283,2.482280987227294,2.9831547855311267
Burundi,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,324.56849223027245,324.56849223027245,0.0
Angola,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,3.3623405878118846,3.3623405878118846,0.0
Sudan,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,5.822332100666814,4.480051857721448,1.3422802429453657
Namibia,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,7.328416954508104,3.6974406711999337,15.315754567463205
Lesotho,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,51.22620160282183,20.77265487234618,51.30566833446171
South Africa,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,23.120936345858606,7.710095716423327,46.52525610872691
Botswana,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,3.5544153139751167,3.0749248670670157,1.5923081771018575
Senegal,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,1.788525560233382,1.6972153535735786,0.0913102066598035
Mauritania,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,4.084813268336496,2.457838610688331,9.83032669008546
Mali,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,3.106630778248306,3.106630778248306,0.0
Puerto Rico,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,158.98800656016158,63.65738553406423,175.82351573175487
Nicaragua,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,101.81164031906646,40.388673470145186,128.03351840568382
Mexico,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,60.70376520177961,17.481633989313803,101.8149854971706
Honduras,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,183.72045855797097,145.20209720272223,186.30059400933467
Guatemala,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,143.6737744047212,65.69850683700285,190.78730346557836
United States of America,se_rate,Irrigated_Maize_residues_left_on_the_field.tif,t soil/ha/yr,18.652068749115355,8.469706112195306,33.502176050696804
