country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,13.42162079714973,5.58484756262781,31.54062841767515
Malawi,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,8.015539794398784,6.260878271246208,2.6821514930065473
Rwanda,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,51.73576030036873,36.16010079554238,51.77640061931651
Somalia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,1.676995512573982,1.4086639542130115,0.5443384527134593
Zambia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,8.577622604174204,5.014247865435891,14.108018091646754
Kenya,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,8.645523837032608,2.818202958826367,19.224787528534062
Madagascar,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,49.65199024855748,19.90116233564877,77.27812990350365
South Sudan,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,4.855626057597559,2.9237864530808433,11.885410839481748
United Republic of Tanzania,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,19.74151992771191,6.654906775997962,36.85262799096927
Zimbabwe,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,12.364842602631697,5.088363620923929,26.522368967601572
Ilemi triangle,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,3.263063235684016,3.263063235684016,0.0
Ethiopia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,24.696138000515855,6.628542481475591,40.842246902594674
Burundi,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,145.58994028985072,145.58994028985072,0.0
Gabon,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,17.307278964460902,20.07243516558353,6.85952828198048
Chad,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,3.6051431113720165,2.8976593016816206,0.7074838096903961
Congo,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,18.488249777009813,10.481814292154414,21.847637724530315
Democratic Republic of the Congo,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,21.473323714628968,11.284447461933585,31.108743722177127
Cameroon,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,13.617391237963531,12.497650744745822,1.6601205537725359
Central African Republic,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,8.825249188686369,6.3082124665089285,9.402432551308724
Angola,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,44.53723590540372,43.49168190167088,36.90682475007399
Morocco,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,7.096074271845121,1.9784931289552599,11.488155021414215
Libya,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,1.1426816148995371,0.3906235843076321,1.5172422830738115
Sudan,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,2.4375595568440622,1.538400891069446,6.330902259217976
Tunisia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,3.3966062385710956,0.8787778959481324,6.856397698909629
Algeria,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,4.794837795520581,0.9829418657507997,9.483282602381095
Abyei,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,2.0028202839512446,1.7659535557533461,0.5437554402924506
Namibia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,1.9205985596383244,1.6955266395648234,0.9241138082522052
Swaziland,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,36.02942447565737,25.55977318516885,33.71903990586805
South Africa,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,11.323244330599504,3.963959069203767,21.951633623734597
Botswana,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,1.561294224586628,1.3294346776568904,0.904272699943038
Togo,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,15.198844255730638,6.816880506001987,35.65976908503798
Senegal,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,3.1962525146314795,2.5290872067940042,2.818598622420615
Nigeria,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,8.113513506848522,8.113513506848522,0.0
Mali,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,5.8020955949466675,3.3919021868794497,9.762730088997227
Liberia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,29.528210845551087,18.40588684314608,34.17853258041871
Guinea-Bissau,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,5.7964910937345975,5.400983052613386,2.9287655601344507
Guinea,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,13.07513283726261,10.972577973082318,6.188700524986128
Ghana,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,14.649536925747112,8.854904677315869,20.501862215580644
Côte d'Ivoire,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,14.783317078563861,9.556833673596246,22.920448029202127
Burkina Faso,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,4.455427980242671,3.539569922376865,2.675543238248757
Benin,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,6.802531595715314,5.830564376896196,5.470972187871046
Dominican Republic,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,53.11008155345013,20.082666284840766,64.84946028407846
Martinique,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,90.60819651254495,90.60819651254495,0.0
Cuba,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,33.766486446214785,9.34550721875459,70.59730653653529
Jamaica,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,103.22289124743392,85.63486114525901,104.99064837677876
Trinidad and Tobago,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,62.212137867145,13.780009895904362,100.97887310578213
Bahamas,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,6.796036842511525,6.083786313497574,3.2120579594873737
Haiti,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,124.7141107734076,74.76993219086765,139.08016356612657
Puerto Rico,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,64.71170294498587,28.55445054209733,72.56086460024248
Panama,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,141.7221747089148,84.30833380997876,174.2118909974511
El Salvador,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,81.1192449555554,43.322582591004604,100.32202578311166
Nicaragua,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,46.79272634825373,19.605329921396986,58.19145909905817
Mexico,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,28.188664933877916,8.463165232053262,46.54839231757049
Honduras,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,84.76030374568124,65.24963673542703,84.34191734665801
Guatemala,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,65.436406248182,33.24552787897277,82.22487682395001
Costa Rica,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,125.02383105668689,56.300151490440065,156.29565091333015
Belize,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,46.37699174851121,18.246426698217924,62.679571069089334
United States of America,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,9.145858056546501,4.947910018713765,15.09181031341274
Colombia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,65.47313897963963,15.191709246828914,115.09659777054415
Guyana,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,24.138326389415507,11.225547203270745,36.541266922593486
Ecuador,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,90.70807643204589,34.086636534780354,138.92925251381848
French Guiana,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,42.907748071890396,28.59667603685162,38.565664632476974
Paraguay,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,7.070499740603215,3.7002075383738253,11.741241580238876
Suriname,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,25.487416969844627,14.27639938295196,31.040494842051316
Uruguay,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,5.8079355041920415,4.560793275920897,4.824695106517995
Venezuela,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,46.702775931539705,13.469140383527087,75.88348058067322
Peru,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,53.749316649125724,23.262853170826986,76.21929362156985
Chile,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,14.795889327061943,6.857670009022024,18.456284166101646
Brazil,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,23.49162065919233,11.622619350618923,35.52353282159031
Bolivia,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,32.366955097531005,8.035933949484752,62.080468505610014
Argentina,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,5.758382574831727,2.4907172840683858,15.405463551519054
Turkmenistan,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,5.39992999989897,3.332309208000063,2.0676207918989076
Taiwan,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,223.22182563616767,198.571094902404,179.13226794311677
Japan,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,234.89982987759737,173.71202297536547,228.8853168579429
China,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,72.9197319821852,41.48593614905694,87.05809174941345
Myanmar,se_rate,Irrigated_Oranges.tif,t soil/ha/yr,105.372118058536,99.97631681808672,50.7013600101142
