country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,45.020665156192514,18.728229489735305,105.25843886291682
Malawi,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,100.58200900034012,30.404792116685865,178.19218544384756
Rwanda,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,182.01472338374813,124.88951247105022,175.91911394838831
Somalia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,4.324935052383387,3.954323777307651,0.37061127507573643
Zambia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,28.569134935929732,16.70355138385201,47.010704790214646
Kenya,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,34.659380263348964,11.318942882877502,74.3654025664968
Madagascar,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,165.8127603012285,66.3372051494922,258.5591282192821
South Sudan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,49.403210193295074,22.7343478362783,117.425931001809
United Republic of Tanzania,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,66.01095249837637,22.33416581410503,123.05212916151876
Uganda,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,55.31567328436096,27.250707352106545,95.29287908177741
Zimbabwe,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,40.56146138652426,16.79900634696611,87.03556909362791
Ethiopia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,83.68952665899218,22.634860896250718,137.1188322050541
Eritrea,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,82.92733112119589,48.54482737586857,97.83979536584573
Burundi,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,135.44121723000944,80.82452238465672,143.08822020476634
Gabon,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,15.228036041168771,15.228036041168771,0.0
Congo,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,90.85701842309429,46.458787251097775,90.93058071242478
Democratic Republic of the Congo,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,72.58976636719612,37.84547570721417,107.73704546210342
Cameroon,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,107.71753215510435,54.37035423384751,172.78483067514125
Central African Republic,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,29.16363645569591,24.966190642003124,12.214790169736448
Angola,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,34.31657265562918,17.151318171907104,58.508058502502394
Morocco,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,23.653579966241587,6.594976834456698,38.29384854971989
Libya,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,3.80893856497817,1.3020785626188203,5.0574740759467405
Sudan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,22.94021296035809,10.624234091039906,23.412037770925476
Tunisia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,11.322020345340315,2.929259536762125,22.854658088202914
Algeria,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,15.915750553641175,3.2719318391852705,31.553411704634783
Namibia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,11.476378635067059,5.543895819412059,24.57534706604834
Swaziland,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,116.81866897271883,85.1992405650492,110.13487944557825
Lesotho,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,113.04690148632108,95.54912883548411,83.44399902107844
South Africa,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,35.21379590062172,11.5375057280659,71.35339961959934
Botswana,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,5.314903361734262,4.365603039955222,2.42848334431472
Sierra Leone,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,1110.6867874632003,1110.6867874632003,0.0
Senegal,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,20.566368306955372,20.566368306955372,0.0
Nigeria,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,59.44206688086614,24.394650293838726,121.35911548151866
Mali,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,14.087144365329484,11.290731395099096,4.313760414441446
Guinea,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,71.19642127376788,31.273999630317363,106.61790468243198
Dominican Republic,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,197.2350448642332,79.41339787035642,229.4531132409425
Cuba,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,616.307542043927,411.7056478028765,497.59143703605474
Jamaica,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,707.8729657799762,521.5726523233293,583.0788164316344
Haiti,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,468.9248301760581,312.96364025230366,472.6014807229733
Panama,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,876.5115528584073,788.1222813659492,354.88500080243915
El Salvador,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,258.85376119930527,244.2949879270886,243.3133812477751
Nicaragua,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,161.99381558197746,66.69774009514659,200.75257329217854
Mexico,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,92.55334345205658,26.491617153347303,154.0482175808941
Honduras,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,291.7933219356415,222.69949103537422,284.27565340288567
Guatemala,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,229.31713351719245,119.0369337699415,285.45632308313304
Costa Rica,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,619.7291035278936,387.19801743371215,595.0961482571046
Belize,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,193.88959181771654,86.3042663038782,230.81087326563937
United States of America,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,31.467198760350243,12.973365510424788,60.58101262037105
Colombia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,451.0203837894796,281.38305629840437,508.6946146574894
Guyana,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,9.39525569741502,9.39525569741502,0.0
Ecuador,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,384.0985326308331,189.94062823546275,518.5502960777998
French Guiana,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,125.83654591934152,125.83654591934152,0.0
Paraguay,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,23.137392776190918,12.334024637802646,37.22440653200298
Suriname,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,134.48188723148434,134.48188723148434,0.0
Uruguay,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,19.359784244684764,15.202643648970874,16.082316382672815
Venezuela,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,239.67407818154197,125.2929932628669,294.772351530842
Peru,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,232.43912013690445,125.89075491641273,284.63858729324454
Chile,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,97.26227105580789,42.736624971476104,136.7674914220936
Brazil,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,83.64661574402821,38.83406597422151,126.94154703113895
Bolivia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,121.09652292742537,28.360749145882817,222.3799008739744
Argentina,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,17.590248878959297,7.406269473425567,48.75333223802357
Turkmenistan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,4.037506299428482,1.6323288493983834,8.990394172401858
Uzbekistan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,10.35083209753432,1.4654614795078755,24.351393389745645
Tajikistan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,63.906146076010074,45.4243068465909,65.0623233026022
Kyrgyzstan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,46.48637616436869,26.99172246414264,54.427630767101085
Kazakhstan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,2.9725931143915267,0.8567364411934633,12.683163820777407
Mongolia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,11.863475407349442,3.4087092374822174,21.931082130228443
Taiwan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,744.0727225537654,661.9036233729931,597.1075360834674
Republic of Korea,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,333.1794487675832,280.77777565482285,293.4882383446909
Dem People's Rep of Korea,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,198.18519398224356,118.61923676791992,206.01792338812425
Japan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,437.72209234785504,205.09111022425188,589.9848057148911
China,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,109.09854031974196,27.776385823700103,206.18814535475727
Myanmar,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,351.2403795714146,333.2543761512832,169.00452665141083
Cambodia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,114.32720459675579,25.257213522464614,89.0699910742912
Viet Nam,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,441.2931487368069,254.50783370930392,496.68180675220543
Lao People's Democratic Republic,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,375.087374936143,304.162906702206,331.37974877437455
Malaysia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,608.1939434391655,578.1241313030218,227.6686013862533
Thailand,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,186.6698886829408,62.571732853475396,242.10851417112752
Philippines,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,430.2521086470823,311.084273526187,405.11948118599173
Indonesia,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,410.54020375307226,199.78526786243748,501.25435848633947
Timor-Leste,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,355.5125551226409,281.3465350419482,393.3892656031702
Nepal,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,351.230596731327,225.9718276627824,368.63280389117404
Pakistan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,58.5414539792668,12.075509077077786,121.51859158866378
India,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,79.719092917912,18.466173648957056,191.27673414275102
Iran  (Islamic Republic of),se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,12.837580354479506,2.8518018795995985,28.0320613139131
Jammu and Kashmir,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,190.52034305241406,140.31764992028272,185.67286273300996
Sri Lanka,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,161.38828342537303,31.642695488739008,253.12468540955524
Bhutan,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,668.861645255749,468.4517265703128,614.5985707865192
Bangladesh,se_rate,Irrigated_Potatoes.tif,t soil/ha/yr,66.22563848378897,36.133578635206455,134.83111190013338
