country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,7.892412081950862,3.2835941186830517,18.48069477011374
Malawi,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,17.205721881449467,5.224231922559448,31.29430961854547
Rwanda,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,30.351644672353437,21.213924842136027,30.375486991726202
Somalia,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,1.2712270932539136,0.8248789220028803,1.9540037024784096
Zambia,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,5.2257530331396085,2.992071500336477,8.631296432252288
Kenya,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,4.631720010651893,1.499518472599097,10.55171997469288
South Sudan,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,2.7624120058650634,1.6701663912258156,6.785376357230023
United Republic of Tanzania,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,11.416921494465878,3.890861387038163,21.346301211607965
Uganda,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,7.655695761638686,3.8007435771452043,14.160436846958246
Zimbabwe,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,7.246160758389357,2.911525360901726,15.709859791510738
Ilemi triangle,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,1.3834371223051922,0.9352668138197097,0.599403551032504
Ethiopia,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,14.287675897777985,3.795800686123672,23.830064800628076
Eritrea,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,11.295267540792855,3.866840129275395,16.567810014148755
Burundi,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,23.894023937731777,14.225115862619312,25.159390916831416
Chad,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,1.516891160613695,1.0571005649394736,3.3972621883758403
Congo,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,26.72618366916493,7.068414943856291,19.657768725308642
Democratic Republic of the Congo,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,12.600500729303258,6.620208878731945,18.256489219623294
Cameroon,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,16.73008099667774,8.030800032743612,28.887708873587112
Central African Republic,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,4.987500698784032,3.5773047349683766,5.089696146121176
Angola,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,11.16235867628228,5.127448190717422,18.056680683157722
Sudan,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,1.20619775939535,0.7507904727817717,3.0338365240369902
Abyei,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,1.1749878468614472,1.036026039260172,0.3190031772336383
Namibia,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,2.0727275796419207,0.9831543985362692,4.307543763136151
Lesotho,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,19.896254553782587,16.816646583922452,14.686143748131409
South Africa,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,6.132783955363551,2.0258521046599385,12.579751177932335
Botswana,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,0.8585410056438733,0.7095716761236371,0.5681054696276128
Togo,se_rate,Irrigated_Sorghum_residues_left_on_the_field.tif,t soil/ha/yr,8.563101146660134,3.986459314045183,19.91400065991573
