country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,41.230278613295134,17.84530179703304,47.0107390292321
Malawi,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,18.97145600817711,12.75844502774978,6.213010980427333
Rwanda,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,103.6556247933545,75.60274795378223,111.96192836683839
Somalia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,3.5775902046984553,3.00514958240351,1.1612552936884935
Zambia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,19.069988963592316,10.771625419758985,31.89871097753441
Kenya,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,6.437872123947682,5.936437326639384,0.5014347973082982
South Sudan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,6.778994001174291,5.080141725637728,2.796228143398831
United Republic of Tanzania,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,137.8832302759334,70.36800772925612,67.51522254667731
Uganda,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,24.618464453376493,13.795892858014822,35.517262917732296
Zimbabwe,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,24.64934216919268,10.69598930843085,45.97509409687654
Ethiopia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,52.289498498041205,13.749005745696667,86.77763092269632
Gabon,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,58.224474979068404,36.99001149848272,59.69829742882808
Equatorial Guinea,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,10.757384243493453,10.757384243493453,0.0
Congo,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,60.435649848976034,24.389296199160796,63.1679003296544
Democratic Republic of the Congo,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,44.31826889555247,23.954122843372538,62.37385843577187
Cameroon,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,55.3341400183248,34.23892998997363,70.42273147419039
Central African Republic,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,18.82449951718575,15.978361653737776,9.0211740196735
Angola,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,33.0049584454574,17.33996591436025,38.857099024431555
Sudan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,5.571609571365036,4.287130891732166,1.28447867963287
South Africa,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,22.256059587976154,7.366734801294203,45.118163858494746
Botswana,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,3.401538075479626,2.79398588312089,1.5542293056216874
Togo,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,22.02841334557667,22.02841334557667,0.0
Senegal,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,6.070164712383416,6.070164712383417,8.881784197001252e-16
Nigeria,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,26.218230992089445,11.916677790734527,61.03812513843877
Niger,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,3.9235724387422786,3.8194673351275514,0.4622279202657999
Mali,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,11.034200344324393,6.515779987570105,18.370183724896023
Liberia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,63.41042704811848,40.35794485105417,71.60476618475934
Guinea,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,27.893614987629974,23.40816488920542,13.20256030024756
Ghana,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,45.45148916705136,11.68324561364039,33.76824355341098
Côte d'Ivoire,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,31.40247136888151,20.358212922320956,48.54215332818681
Burkina Faso,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,8.57421463358637,6.4013283209697684,9.026128538102263
Benin,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,13.681724145879642,11.721124325523572,11.06060254468523
Panama,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,546.059351293302,546.059351293302,0.0
El Salvador,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,168.52938243066617,63.501483988866,212.71808917320433
Nicaragua,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,98.27477147579619,40.6804928324726,123.53753512946803
Mexico,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,64.1570282675373,20.078845698325523,102.12508962215725
Honduras,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,178.37022637068887,138.98887668160765,179.76163728152363
Guatemala,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,137.35915416366325,69.32278814868148,174.8488355934618
Belize,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,98.93757625397059,38.92570787270549,133.7164099785163
United States of America,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,18.92829795144981,8.411281037105887,34.75793358127957
Colombia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,123.21458440088658,27.653163297572387,230.77274299431224
Guyana,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,6.012963511945403,6.012963511945403,0.0
Ecuador,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,152.82005015986238,46.88698436975352,268.32108883199925
French Guiana,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,80.53538758827234,80.53538758827234,0.0
Paraguay,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,15.00973237895684,7.87796625500408,25.041531251632932
Suriname,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,86.06840590437115,86.06840590437115,0.0
Uruguay,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,12.457114068055855,9.743382194750863,10.33845112490299
Venezuela,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,151.56327414067886,63.02220987034526,189.26233810604634
Peru,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,128.03084353665417,67.09081131042542,157.9920397258877
Chile,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,108.95983822185819,108.95983822185819,0.0
Brazil,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,49.766954238474455,24.875024620165902,74.57790650926685
Bolivia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,68.04056109294218,17.08780794756728,132.08105186710478
Argentina,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,11.065628136787382,5.115865992403701,31.100610546721473
Kyrgyzstan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,12.165897892971374,12.165897892971374,0.0
Kazakhstan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,2.6184381672447814,0.49721924671950085,4.840528134647094
Mongolia,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,16.778188965269276,2.040735724880307,23.219969882067254
Taiwan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,476.2065317903641,423.61830949010835,382.1488145517273
Republic of Korea,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,213.234842445083,179.69777240252833,187.83246834221924
Dem People's Rep of Korea,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,128.97808793207386,77.52205852473345,132.99294847321866
Japan,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,280.8454789943289,131.94703383073087,377.8453237645637
China,se_rate,Irrigated_Soybeans.tif,t soil/ha/yr,70.37515097838146,18.16782203507301,132.4232368512901
