country,impact_category,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,32.13929184599006,13.428242892105532,59.74549430126432
Turkmenistan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,17.999765951083464,11.10769691861999,6.892069032463475
Uzbekistan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,4.644438882218707,4.644438882218707,0.0
Kyrgyzstan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,19.009215882656857,19.009215882656857,0.0
Kazakhstan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,8.4174411333227,2.8369501516037343,13.100060358416638
Mongolia,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,27.278951315362146,4.771395400907947,36.69382085648438
Dem People's Rep of Korea,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,18.896700992521495,13.546736260558271,12.453378395013985
Japan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,438.8226009439393,206.16724496871402,590.3822491389456
China,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,107.62323236374446,22.455109909172343,214.5645649503275
Viet Nam,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,1257.779951246248,601.8058344530522,655.9741167931959
Nepal,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,216.87769201204088,103.21821703623775,113.65947497580315
Pakistan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,59.6076811719516,12.151194936588425,122.73397172860945
India,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,24.001014963933653,24.001014963933653,0.0
Iran  (Islamic Republic of),se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,12.313338080697584,6.216053746407478,13.81951799793464
Jammu and Kashmir,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,176.27258112661252,136.53316185812142,194.71593739518522
Arunachal Pradesh,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,63.35963937913907,52.64024277650968,36.361334873973966
Afghanistan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,57.70621513429968,13.158212158267997,94.6233942472579
Turkey,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,23.172922600665217,10.482879235079013,32.91856205383155
Iraq,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,78.50999368687242,78.50999368687242,0.0
Syrian Arab Republic,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,42.54740596534143,2.8912976435112236,85.75523267887793
Azerbaijan,se_rate,Irrigated_Sugarbeet.tif,t soil/ha/yr,81.81561010790828,81.81561010790828,0.0
