country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,44.86109306249483,18.65678486633834,105.06932313229521
Malawi,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,26.718464919632872,20.869593408204224,8.940504621424756
Rwanda,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,178.67894816263615,124.88951247105022,175.1197071679574
Somalia,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,5.589984819787234,4.695546327459124,1.8144614369446443
Zambia,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,28.9994429504147,16.83870223489714,47.682968230230806
Kenya,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,32.878019288965994,10.79720945529187,71.5050596980412
Madagascar,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,163.71120186538442,65.03483174963345,256.40405659729083
South Sudan,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,15.694175611273431,9.487847899305066,38.474021775459654
United Republic of Tanzania,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,65.80506381084808,22.183021705185787,122.84208842192487
Uganda,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,44.2853830525506,21.556083072464162,81.3701046681584
Zimbabwe,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,40.51796237362452,16.79900634696611,86.98513929413258
Ilemi triangle,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,7.8604382375084665,5.314016016406535,3.4057020129570144
Ethiopia,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,81.25448478903238,21.697850672651768,135.29116928857647
Eritrea,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,148.20018060118784,148.20018060118784,0.0
Burundi,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,156.55569870521896,91.1993831935172,152.17512584910705
Gabon,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,90.42558193042342,58.583740185765734,92.6484221879711
Equatorial Guinea,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,131.2330767249445,72.76575387806291,181.43488709503077
Chad,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,8.612293709052842,6.006097501850964,19.319974687813712
Congo,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,60.06771885541623,34.25635000189775,71.04497150392773
Democratic Republic of the Congo,se_rate,Irrigated_Sweet_potatoes.tif,t soil/ha/yr,71.5696826045172,37.606800521878576,103.69921031525196
