country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,45.55562741225831,18.87594278636201,106.50713993276428
Malawi,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,100.139524804643,30.404792116685865,177.2624844277187
Rwanda,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,168.6927883845542,118.12929631818025,174.65516710475683
Somalia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,6.972307489050055,4.424769291359618,10.783270234081245
Zambia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,28.59503753994359,16.71415888729197,47.00956845819893
Kenya,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,27.59689054850291,8.727334552507608,62.76016489271572
Madagascar,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,166.0024466148195,66.45723547107947,258.24390695903946
South Sudan,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,9.746459600766194,4.7970681766700976,4.9493914240960954
United Republic of Tanzania,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,65.31930543766997,22.131364620097266,122.3185714293122
Uganda,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,46.67222101093047,22.492312395092434,84.61193408268097
Zimbabwe,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,42.9433915358865,16.860457186670217,92.49422676512653
Ethiopia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,87.75794326520682,24.6896892181286,141.5923943124781
Burundi,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,131.01983275153214,74.85212597725557,141.46539341206932
Gabon,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,58.70895337535062,66.90811455992217,25.89027792169731
Chad,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,8.509980205166928,5.95961287840313,19.25280739622471
Congo,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,58.8805112180216,34.179018677711674,68.0831603935884
Democratic Republic of the Congo,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,72.09844801982742,38.102896562788466,103.86751446463781
Cameroon,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,95.12761814686947,46.186936509082756,163.37389103354806
Central African Republic,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,30.283143826848512,21.22695678243455,33.30000679921665
Angola,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,35.48978667786127,18.14391140799283,59.42698613118907
Morocco,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,23.653579966241587,6.594976834456698,38.29384854971989
Libya,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,3.919096586410244,1.3020785626188203,5.160072846073826
Sudan,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,5.786325282504605,5.905235198536073,2.7173648862716027
Tunisia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,11.23812233670657,2.929259536762125,22.776668118952045
Algeria,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,15.915750553641175,3.2719318391852705,31.553411704634783
Namibia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,7.812700732062668,7.470966257242036,3.4777261416571106
Swaziland,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,120.0980768132558,85.1992405650492,112.39679521997947
South Africa,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,33.550530603632204,11.482624359544944,65.42152186391272
Botswana,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,5.314903361734262,4.365603039955222,2.42848334431472
Togo,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,42.58185182968751,22.503415485060412,65.42880358654145
Sierra Leone,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,126.03787858116469,46.39706466933597,214.55930671495364
Senegal,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,15.02550044102626,9.484632575097148,5.540867865929112
Nigeria,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,44.718868521422664,20.18564860899387,102.98128180355958
Niger,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,4.526399979268259,3.847892844694698,2.5235984320693388
Mauritania,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,6.571315760305343,6.390959960559324,0.18035579974601834
Mali,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,14.655559460974478,8.227679508925194,26.56977052379556
Liberia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,46.32089607040521,35.90871179517163,10.412184275233578
Guinea,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,71.74717867907559,31.068338745360712,121.07261609317244
Ghana,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,49.50765982894948,28.101867106271758,71.54466468762095
Côte d'Ivoire,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,48.6413605847464,31.170705335047977,79.00255685060745
Burkina Faso,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,11.477409755024462,8.512957314898722,13.049870673633382
Benin,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,23.06890389808436,16.554683044794633,46.39713091318922
Dominican Republic,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,155.4058366510534,65.40314666445163,184.63518670502154
Cuba,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,115.25057954291813,31.15168949132504,239.94211386682423
Jamaica,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,271.3169554269044,285.4495258081183,217.28805461206284
Trinidad and Tobago,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,187.1892213036454,45.93336449445329,322.4403774506913
Haiti,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,379.5712391255081,182.9582389431855,436.7594119710918
Puerto Rico,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,228.86541495308245,95.18149802481818,255.3353654573996
Panama,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,475.47872850657,282.2813872128859,492.1477300625605
El Salvador,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,263.32716593373675,99.22107095036688,332.37202176222536
Nicaragua,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,152.5414409928846,63.56327147148827,191.95709992286248
Mexico,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,91.78635585977864,26.77268782125771,153.65212464411937
Honduras,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,280.09689870700157,217.1701246691425,281.9637369586542
Guatemala,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,216.41961803800424,108.31685890338528,274.2286134676887
Costa Rica,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,377.3553057374891,128.4075849505945,523.8527020625003
United States of America,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,30.61646547365675,13.194590955142809,57.18733196742492
Colombia,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,200.14753957957805,44.42321159510739,371.37166512851155
Guyana,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,73.57174362785634,33.744729290798176,115.61680032641941
Ecuador,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,314.1101926208228,115.62761969724716,474.12704714705336
French Guiana,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,125.83654591934152,125.83654591934152,0.0
Paraguay,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,21.253535407323263,11.365379823525242,38.62675082092114
Suriname,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,134.48188723148434,134.48188723148434,0.0
Uruguay,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,19.359784244684764,15.202643648970874,16.082316382672815
Venezuela,se_rate,Irrigated_Tobacco.tif,t soil/ha/yr,117.02603002069054,27.88597780258466,224.7608302566324
