country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,22.411369494117036,9.320536925714949,52.485857829898045
Malawi,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,50.0697624023215,15.202396058342933,88.63124221385935
Rwanda,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,84.3463941922771,59.064648159090126,87.32758355237841
Somalia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,3.4734507793314124,2.2218238493001183,5.3943345057540935
Zambia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,14.29029806583721,8.357079443645985,23.497825479033633
Kenya,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,13.414244297347755,4.227286038423087,31.038113090409404
Madagascar,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,81.63437232648909,32.43017679676474,128.03412636413142
South Sudan,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,8.076933914249173,4.743923949652533,20.817004938006175
United Republic of Tanzania,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,32.90253190542404,11.091510852592894,61.421044210962435
Uganda,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,21.227292474574554,10.778041536232081,39.41782520873344
Zimbabwe,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,20.25898118681226,8.399503173483055,43.49256964706629
Ilemi triangle,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,3.6687663604674206,2.6570080082032677,1.610338914475776
Ethiopia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,40.49271648568426,10.783524734919355,67.6225727291694
Eritrea,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,74.10009030059392,74.10009030059392,0.0
Comoros,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,470.4767412426905,470.4767412426905,0.0
Burundi,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,242.64989084104414,242.64989084104414,0.0
Gabon,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,45.21279096521171,29.291870092882867,46.32421109398555
Equatorial Guinea,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,8.404206628077917,8.404206628077917,0.0
Chad,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,4.804733733924068,3.9429399956412317,2.0320629366470704
Congo,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,30.033859427708116,17.128175000948875,35.52248575196386
Democratic Republic of the Congo,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,35.72914301453865,18.803400260939288,51.73661426850015
Cameroon,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,47.32411171644814,23.02755284848104,81.38275941185553
Central African Republic,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,9.191932660653121,6.907701323111379,6.3671319845979015
Angola,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,17.494897398718813,8.723827073113396,29.751228366048704
Morocco,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,11.826789983120793,3.297488417228349,19.146924274859945
Libya,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,2.026482336026504,0.7264275721857927,2.5837059287406112
Sudan,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,3.4426701498254983,2.1749553803835315,8.685201244857028
Tunisia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,5.661010172670157,1.4646297683810625,11.427329044101457
Algeria,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,7.991396008318089,1.6382363778203346,15.805470375915528
Abyei,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,3.3380336739438663,2.9432558093010988,0.9062590311425861
Namibia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,5.736346111998372,2.7719479097060296,12.281960233966146
Swaziland,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,58.40933448635941,42.5996202825246,55.067439722789125
South Africa,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,17.44492607780309,5.764126613487801,35.27520226396537
Botswana,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,2.657451680867131,2.182801519977611,1.21424167215736
Togo,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,24.175826795965925,11.251707742530206,56.33038541336233
Sierra Leone,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,61.77959453564749,23.644753112080203,98.10707376293404
Senegal,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,4.30245939774458,3.2525467681665785,4.946096693067043
Nigeria,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,20.460613752485763,9.286383315268209,47.62731529452817
Niger,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,2.3560470065933306,2.0119168805885153,1.2763476403915943
Mauritania,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,3.2856578801526717,3.195479980279662,0.09017789987300917
Mali,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,6.4389227879943585,3.7675418199710777,11.894921293848602
Liberia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,49.246297803040704,31.086957027850566,55.70095324151899
Guinea-Bissau,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,9.313221673008597,9.313221673008597,0.0
Guinea,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,18.515002471800432,17.971516584044664,10.15470730390456
Ghana,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,21.27102602206022,12.776303334864705,30.63938972819425
Côte d'Ivoire,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,24.53210645735961,15.90485420106444,37.891360250054326
Burkina Faso,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,5.728399545122403,4.275339543135096,5.9712252787265605
Benin,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,11.695072561534387,8.944298021309814,19.63148508167946
Dominican Republic,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,88.51679907174199,33.47110914471223,108.08242951198754
Martinique,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,151.01365485349808,151.01365485349808,0.0
Cuba,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,56.277475174092025,15.57584474566252,117.66217288541746
Jamaica,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,172.03814524287483,142.72476290405916,174.98440700804233
Trinidad and Tobago,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,93.5946106518227,22.966682247226647,161.22018872534565
Bahamas,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,11.326727620768821,10.139643452916058,5.353429719752771
Haiti,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,207.85684302952384,124.61654869962933,231.80026339929603
Puerto Rico,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,107.85283395595656,47.59074901240909,120.93476952822148
Panama,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,225.28595993565685,125.25012625982518,296.2817787532431
El Salvador,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,131.66358296686838,49.61053547518344,166.18601088111268
Nicaragua,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,76.82396602883556,30.194881645481026,96.84177679692918
Mexico,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,45.81652999922477,13.400006696958005,76.73220527733994
Honduras,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,139.35174246685492,108.58506233457125,140.4387822652417
Guatemala,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,107.60216821981787,54.326210107761746,136.1036199291837
Costa Rica,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,180.43479302107156,67.1998306650288,248.2973924387534
Belize,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,77.29498317609202,30.410709955283497,104.46594763071175
United States of America,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,15.733387743777085,6.615889464578915,30.001870955516186
Colombia,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,100.08168389614893,22.17495927459136,185.5044891958841
Guyana,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,36.78587181392817,16.872364645399088,57.808400163209704
Ecuador,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,159.2103298529155,58.23477269498282,239.0470129828844
French Guiana,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,77.00202479575584,53.44607065718009,67.30094154361363
Paraguay,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,11.784165766078015,6.167012318901323,19.568735189473117
Suriname,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,42.08202300520678,23.060972494384725,50.422027623470385
Uruguay,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,9.679892122342382,7.601321824485437,8.041158191336407
Venezuela,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,64.4926772132809,15.311799298322345,116.61038792324176
Peru,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,89.07650137438549,38.79918705778405,126.33555896551216
Chile,se_rate,Irrigated_Tomatoes.tif,t soil/ha/yr,51.256457123550256,22.981192426339394,71.28911156037705
