country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Mozambique,se_rate,Irrigated_cotton.tif,t soil/ha/yr,51.53785018655343,22.306628077277942,58.763425975648296
Malawi,se_rate,Irrigated_cotton.tif,t soil/ha/yr,23.714320893648676,15.948056878798631,7.766264014850041
Somalia,se_rate,Irrigated_cotton.tif,t soil/ha/yr,5.81781535441586,3.5918564893704295,9.085734078836506
Zambia,se_rate,Irrigated_cotton.tif,t soil/ha/yr,26.296512851621266,14.140213057305676,43.56273043574745
Kenya,se_rate,Irrigated_cotton.tif,t soil/ha/yr,8.674133974706642,8.674133974706642,0.0
South Sudan,se_rate,Irrigated_cotton.tif,t soil/ha/yr,9.22275311329271,6.703346368288992,22.42307881243953
Zimbabwe,se_rate,Irrigated_cotton.tif,t soil/ha/yr,30.807412050705814,13.2342064548329,56.93559496649061
Ilemi triangle,se_rate,Irrigated_cotton.tif,t soil/ha/yr,5.30621699224478,4.251212876473236,2.4574991152718595
Ethiopia,se_rate,Irrigated_cotton.tif,t soil/ha/yr,65.95028110459118,17.69823897971124,107.7935730054877
Eritrea,se_rate,Irrigated_cotton.tif,t soil/ha/yr,81.74306798742072,44.925989727207345,36.81707826021337
Democratic Republic of the Congo,se_rate,Irrigated_cotton.tif,t soil/ha/yr,17.750317803844904,15.732478454610366,2.820646156596605
Central African Republic,se_rate,Irrigated_cotton.tif,t soil/ha/yr,8.905718388191628,6.759114494712617,2.146603893479011
Sudan,se_rate,Irrigated_cotton.tif,t soil/ha/yr,5.468685238670781,3.460146467896827,13.538593936078968
Tunisia,se_rate,Irrigated_cotton.tif,t soil/ha/yr,8.967455182900638,2.295543840702028,18.296654306095625
Algeria,se_rate,Irrigated_cotton.tif,t soil/ha/yr,83.19957092585541,83.19957092585541,0.0
Abyei,se_rate,Irrigated_cotton.tif,t soil/ha/yr,5.340853957895111,4.709209365054445,1.4500144714350367
Namibia,se_rate,Irrigated_cotton.tif,t soil/ha/yr,4.731854890494638,4.731854890494638,0.0
Swaziland,se_rate,Irrigated_cotton.tif,t soil/ha/yr,91.90685269174787,49.97906689340433,104.4796054552793
