country,impact_category,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.006487517889923966,0.002435127667362275,0.013032383530146949
Chile,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.03032397023358906,0.01936257693876332,0.03558021274932766
Argentina,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0011158542998940153,0.00023924266303746534,0.0038175955737480122
Turkmenistan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0003948808200196108,0.00024139812705656284,0.0006255120580257296
Uzbekistan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0012819810088102821,0.0001991631277450147,0.003891548577660273
Tajikistan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.012160518225811646,0.007414530405075382,0.013872250544957818
Kyrgyzstan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.009407405156905786,0.005450268056279841,0.011118180371179736
Kazakhstan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0005930759740702363,0.00017043398067455098,0.0025334863901731973
Mongolia,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0025225447187388773,0.0007000724988668086,0.00479010334477944
Republic of Korea,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.06722966631491399,0.05710950416037341,0.05869817811475206
Dem People's Rep of Korea,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.039843996583468225,0.023907800984855315,0.04126766416875307
Japan,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.08701818042977051,0.04728553164508561,0.10744222561841792
China,se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0066883644530483,0.0019278638213462592,0.014711381557287864
Iran  (Islamic Republic of),se_rate,Needleleaf_Evergreen_Cold_temperate_dry.tif,t soil/ha/yr,0.0022136770123958385,0.0009261288581884211,0.0029746489949339845
