country,impact_category,flow_name,Unit,cf,cf_median,cf_std
United States of America,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.005671300216042242,0.0016115389728658391,0.013248730951032114
Chile,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.009194853484545195,0.0023579363417729443,0.01975056792628974
Argentina,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.0012669762042274277,0.00025723326837338384,0.004153928793953248
Uzbekistan,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,2.364735815952408e-05,9.672422103172375e-06,5.5376638641838746e-05
Tajikistan,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.01673560753377103,0.012632017525875562,0.014841578060230067
Kyrgyzstan,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.012653303143942092,0.005944212419666355,0.014922152080486858
Kazakhstan,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.00020132402167177528,0.00015620258537520266,0.0007860639169207688
Mongolia,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.004508510048937551,0.001800771412484973,0.00741313958489314
Dem People's Rep of Korea,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.010008477628193492,0.011496916180007977,0.008330108266013811
Japan,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.04020826966930085,0.015417215154707368,0.09162000640933923
China,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.004868327785027118,0.0014790770588512096,0.008418506418968639
Iran  (Islamic Republic of),se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.0024217578619932082,0.0011570263051918263,0.0027587290395947824
Turkey,se_rate,Needleleaf_Evergreen_Cold_temperate_moist.tif,t soil/ha/yr,0.004125780687195926,0.0019202157076671186,0.004229015541470671
