country,impact_category,flow_name,Unit,cf,cf_median,cf_std
Morocco,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.0047307158737403794,0.0013189953335707141,0.007658769516467182
Libya,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.0007617876937512579,0.00026041570594510983,0.0010114947896368398
Tunisia,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.0022476244105615445,0.000585851892552561,0.004555333508713002
Algeria,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.003183150030315099,0.000654386351305864,0.006310682181505712
Namibia,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.019030245436780814,0.00048735294041404815,0.018542892496366765
Swaziland,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.003271529693029251,0.0018547322977959288,0.0014769876911960634
Lesotho,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.02260937972610323,0.01910982528434202,0.016688799382621144
South Africa,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.005807372513856288,0.0018792179555439203,0.011399760466406426
Botswana,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.0004972344264671022,0.0004461490209680969,0.000165302884732681
Mexico,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.005800874134305333,0.0018853644603817284,0.010365980056482161
United States of America,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.005882137833641716,0.0031117706970297553,0.009323495580717437
Paraguay,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.009294614885848748,0.004778330924844781,0.013644688719004473
Uruguay,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.0038719567511230953,0.0030405286529839584,0.0032164631952798658
Chile,se_rate,Needleleaf_Evergreen_Subtropical.tif,t soil/ha/yr,0.013853654317095683,0.006761736270879377,0.01994429553042701
