ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Afghanistan,Afghanistan,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Aksai Chin,Aksai Chin,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Albania,Albania,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Algeria,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
American Samoa,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Andorra,Andorra,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Angola,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Anguilla,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Antarctica,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Antigua and Barbuda,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Argentina,Argentina,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Armenia,Armenia,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Aruba,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Arunachal Pradesh,Arunachal Pradesh,0.07000000029802321,cf_mean,cfactor_25km_Barley_irr_roff_rt
Ashmore and Cartier Islands,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Australia,Australia,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Austria,Austria,0.07000000029802321,cf_mean,cfactor_25km_Barley_irr_roff_rt
Azerbaijan,Azerbaijan,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Azores Islands,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bahamas,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bahrain,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Baker Island,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bangladesh,Bangladesh,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Barbados,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bassas da India,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Belarus,Belarus,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Belgium,Belgium,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Belize,Belize,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Benin,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bermuda,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bhutan,Bhutan,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bird Island,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bolivia,Bolivia,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bosnia and Herzegovina,Bosnia and Herzegovina,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Botswana,Botswana,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bouvet Island,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Brazil,Brazil,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
British Indian Ocean Territory,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
British Virgin Islands,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Brunei Darussalam,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Bulgaria,Bulgaria,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Burkina Faso,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Burundi,Burundi,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Cambodia,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Cameroon,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Canada,Canada,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
Cape Verde,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Cayman Islands,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Central African Republic,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Chad,,,cf_mean,cfactor_25km_Barley_irr_roff_rt
Chile,Chile,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
China,China,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
China/India,China/India,0.07000000029802322,cf_mean,cfactor_25km_Barley_irr_roff_rt
