ADM0_NAME,ADM1_NAME,ADM1_CODE,flow_name,metric,value
Burundi,Bubanza,40542,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Bujumbura Mairie,40543,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Bujumbura Rural,40544,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Bururi,40545,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Cankuzo,40546,se_rate_25km_Barley_irr_roff_rt,cf_mean,4.154586812191067
Burundi,Cibitoke,40547,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Gitega,40548,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Karuzi,40549,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Kayanza,40550,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Kirundo,40551,se_rate_25km_Barley_irr_roff_rt,cf_mean,24.402789394667447
Burundi,Makamba,40552,se_rate_25km_Barley_irr_roff_rt,cf_mean,36.99672838619537
Burundi,Muramvya,40553,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Muyinga,40554,se_rate_25km_Barley_irr_roff_rt,cf_mean,9.8119591237206
Burundi,Mwaro,40555,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Ngozi,40556,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Burundi,Rutana,40557,se_rate_25km_Barley_irr_roff_rt,cf_mean,1.9362060479501755
Burundi,Ruyigi,40558,se_rate_25km_Barley_irr_roff_rt,cf_mean,6.317609478097798
Bassas da India,Administrative unit not available,592,se_rate_25km_Barley_irr_roff_rt,cf_mean,
British Indian Ocean Territory,Administrative unit not available,696,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Comoros,Anjouan,967,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Comoros,Moheli,968,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Comoros,Ngazidja,969,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Djibouti,Ali Sabieh,1093,se_rate_25km_Barley_irr_roff_rt,cf_mean,1.084128608548046
Djibouti,Dikhil,1094,se_rate_25km_Barley_irr_roff_rt,cf_mean,5.210209666292372
Djibouti,Djibouti,1095,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Djibouti,Obock,1096,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Djibouti,Tadjourah,1097,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Eritrea,Anseba,1205,se_rate_25km_Barley_irr_roff_rt,cf_mean,0.4697456595979997
Eritrea,Archipelagos,1206,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Eritrea,Debub,1207,se_rate_25km_Barley_irr_roff_rt,cf_mean,12.529245661901065
Eritrea,Debubawi Keih Bahri,1208,se_rate_25km_Barley_irr_roff_rt,cf_mean,1.4833703908906655
Eritrea,Gash Barka,1209,se_rate_25km_Barley_irr_roff_rt,cf_mean,1.5743267850197922
Eritrea,Maekel,1210,se_rate_25km_Barley_irr_roff_rt,cf_mean,
Eritrea,Semenawi Keih Bahri,1211,se_rate_25km_Barley_irr_roff_rt,cf_mean,35.19186542825224
Ethiopia,Addis Ababa,1227,se_rate_25km_Barley_irr_roff_rt,cf_mean,3.674234335964429
