ADM0_NAME,value,metric,flow_name
Abyei,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Afghanistan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Aksai Chin,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Albania,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Algeria,,cf_mean,Broadleaf_Deciduous_Boreal_dry
American Samoa,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Andorra,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Angola,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Anguilla,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Antarctica,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Antigua and Barbuda,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Argentina,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Armenia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Aruba,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Arunachal Pradesh,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ashmore and Cartier Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Australia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Austria,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Azerbaijan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Azores Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bahamas,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bahrain,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Baker Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bangladesh,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Barbados,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bassas da India,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Belarus,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Belgium,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Belize,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Benin,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bermuda,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bhutan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bird Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bolivia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bosnia and Herzegovina,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Botswana,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bouvet Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Brazil,,cf_mean,Broadleaf_Deciduous_Boreal_dry
British Indian Ocean Territory,,cf_mean,Broadleaf_Deciduous_Boreal_dry
British Virgin Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Brunei Darussalam,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Bulgaria,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Burkina Faso,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Burundi,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cambodia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cameroon,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Canada,0.024293478045843708,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cape Verde,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cayman Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Central African Republic,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Chad,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Chile,0.12208800340464789,cf_mean,Broadleaf_Deciduous_Boreal_dry
China,,cf_mean,Broadleaf_Deciduous_Boreal_dry
China/India,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Christmas Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Clipperton Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cocos (Keeling) Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Colombia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Comoros,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Congo,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cook Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Costa Rica,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Croatia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cuba,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Cyprus,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Czech Republic,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Côte d'Ivoire,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Dem People's Rep of Korea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Democratic Republic of the Congo,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Denmark,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Djibouti,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Dominica,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Dominican Republic,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ecuador,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Egypt,,cf_mean,Broadleaf_Deciduous_Boreal_dry
El Salvador,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Equatorial Guinea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Eritrea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Estonia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ethiopia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Europa Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Falkland Islands (Malvinas),,cf_mean,Broadleaf_Deciduous_Boreal_dry
Faroe Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Fiji,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Finland,0.007543084571343564,cf_mean,Broadleaf_Deciduous_Boreal_dry
France,,cf_mean,Broadleaf_Deciduous_Boreal_dry
