ADM1_CODE,value,metric,flow_name,ADM1_NAME,ADM0_NAME
40542,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Bubanza,Burundi
40543,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Bujumbura Mairie,Burundi
40544,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Bujumbura Rural,Burundi
40545,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Bururi,Burundi
40546,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Cankuzo,Burundi
40547,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Cibitoke,Burundi
40548,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Gitega,Burundi
40549,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Karuzi,Burundi
40550,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Kayanza,Burundi
40551,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Kirundo,Burundi
40552,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Makamba,Burundi
40553,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Muramvya,Burundi
40554,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Muyinga,Burundi
40555,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Mwaro,Burundi
40556,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Ngozi,Burundi
40557,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Rutana,Burundi
40558,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Ruyigi,Burundi
592,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,Bassas da India
696,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,British Indian Ocean Territory
967,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Anjouan,Comoros
968,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Moheli,Comoros
969,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Ngazidja,Comoros
1093,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Ali Sabieh,Djibouti
1094,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Dikhil,Djibouti
1095,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Djibouti,Djibouti
1096,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Obock,Djibouti
1097,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Tadjourah,Djibouti
1205,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Anseba,Eritrea
1206,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Archipelagos,Eritrea
1207,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Debub,Eritrea
1208,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Debubawi Keih Bahri,Eritrea
1209,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Gash Barka,Eritrea
1210,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Maekel,Eritrea
1211,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Semenawi Keih Bahri,Eritrea
1227,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Addis Ababa,Ethiopia
1228,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Afar,Ethiopia
1229,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Amhara,Ethiopia
1230,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Beneshangul Gumu,Ethiopia
1231,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Dire Dawa,Ethiopia
1232,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Gambela,Ethiopia
1233,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Hareri,Ethiopia
47678,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Oromia,Ethiopia
1236,,cf_mean,Broadleaf_Deciduous_Boreal_dry,SNNPR,Ethiopia
47679,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Somali,Ethiopia
1237,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Tigray,Ethiopia
1238,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,Europa Island
1335,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,Glorioso Island
61033,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,Ilemi triangle
1713,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Administrative unit not available,Juan de Nova Island
51325,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Central,Kenya
51326,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Coast,Kenya
51327,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Eastern,Kenya
51328,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Nairobi,Kenya
51329,,cf_mean,Broadleaf_Deciduous_Boreal_dry,North Eastern,Kenya
51330,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Nyanza,Kenya
51331,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Rift Valley,Kenya
51332,,cf_mean,Broadleaf_Deciduous_Boreal_dry,Western,Kenya
