,ECO_NAME,REALM,flow_name,cf
237,Aegean and Western Turkey sclerophyllous and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,17.42433
317,Afghan Mountains semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,19.7071
637,Alai-Western Tian Shan steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.8698072
717,Alashan Plateau semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.6882883
797,Alaska-St. Elias Range tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,22.582388
877,Alaska Peninsula montane taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,39.039284
957,Albany thickets,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,10.237684
1037,Alberta-British Columbia foothills forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3749001
1117,Albertine Rift montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,79.749176
1357,Allegheny Highlands forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,20.53147
1437,Alps conifer and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,57.951946
1517,Altai alpine meadow and tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,12.53506
1597,Altai montane forest and forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,11.7399645
1677,Altai steppe and semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.1658807
1757,Alto Paraná Atlantic forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,33.753254
1837,Amazon-Orinoco-Southern Caribbean mangroves,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,11.13875
1997,Amur meadow steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.9193022
2077,Anatolian conifer and deciduous mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.37527
2157,Andaman Islands rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,73.420975
2637,Appalachian-Blue Ridge forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,44.54233
2717,Appalachian mixed mesophytic forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,53.54354
2797,Appalachian Piedmont forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,16.309958
2877,Appenine deciduous montane forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,43.856853
2957,Apure-Villavicencio dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,773.63696
3117,Araucaria moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,64.21215
3437,Arctic foothills tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.89058155
3517,Arizona Mountains forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,10.897846
3597,Arnhem Land tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,13.141152
3837,Atlantic Coast restingas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,5.1149774
3997,Atlantic coastal pine barrens,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.8356915
4157,European Atlantic mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3645362
4237,Australian Alps montane grasslands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,21.62065
4317,Azerbaijan shrub desert and steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.520203
4477,Badghyz and Karabil semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.8716927
4557,Bahamian-Antillean mangroves,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,6.2139235
4637,Bahia coastal forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,60.575283
4717,Bahia interior forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,82.93822
4797,Baja California desert,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,29.88434
4877,Bajío dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.304205
4957,Balkan mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,10.1241
5037,Balsas dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,57.798023
5117,Baltic mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.91896725
5197,Baluchistan xeric woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.048971
5437,Beni savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,10.536459
5517,Russian Bering tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.483127
5597,Beringia lowland tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,51.99241
5917,Blue Mountains forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.111993
5997,Bohai Sea saline meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.388088
6077,Bolivian montane dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,107.84229
6157,Bolivian Yungas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,203.14357
6397,Brahmaputra Valley semi-evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,50.520164
6477,Brigalow tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,7.9492645
6557,British Columbia coastal conifer forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,90.99211
6637,Brooks-British Range tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8092127
6797,Caatinga,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,14.019931
6877,Caatinga Enclaves moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,56.3795
6957,Caledon conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,28.793205
7037,California Central Valley grasslands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,2.5433242
7117,California coastal sage and chaparral,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.507933
7197,California interior chaparral and woodlands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,16.65355
7277,California montane chaparral and woodlands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,19.255274
7357,Cameroon Highlands forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,142.40958
7437,Campos Rupestres montane savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,69.408806
7517,Canadian Aspen forests and parklands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.2369041
7597,Canadian Low Arctic tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.60852784
7677,Canary Islands dry woodlands and forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,37.26136
7757,Cantabrian mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.944382
7837,Canterbury-Otago tussock grasslands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,9.0465555
7997,Cape York Peninsula tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,15.275565
8077,Caqueta moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,16.009071
8157,Cardamom Mountains rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,298.225
8317,Carnarvon xeric shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.7382392
8477,Carpathian montane forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,12.303891
8557,Carpentaria tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,6.054176
8637,Caspian Hyrcanian mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,11.492458
8717,Caspian lowland desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.34319544
8877,Cauca Valley dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,277.2434
8957,Cauca Valley montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,309.39145
9037,Caucasus mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,33.204018
9197,Celtic broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.0572996
9277,Central Afghan Mountains xeric woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,6.2969427
9357,Central African mangroves,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,13.087823
9517,Central American dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,12.531806
9597,Central American montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,113.755684
9677,Central American pine-oak forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,107.26126
9757,Central Anatolian steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.0067407
9837,Central Anatolian steppe and woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.3739781
9917,Central-Southern Cascades Forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,43.009846
9997,Central-Southern US mixed grasslands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.7170534
10077,Central Andean dry puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,14.792082
10157,Central Andean puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,32.732624
10237,Central Andean wet puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,39.227905
10317,Central Asian northern desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.25227213
10397,Central Asian riparian woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.13300993
10477,Central Asian southern desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.4612042
10557,Central British Columbia Mountain forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.359002
10637,Central bushveld,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,15.2150345
10717,Central Canadian Shield forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.8851693
10797,Central China Loess Plateau mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,25.364885
10957,Central Deccan Plateau dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,9.410548
11037,Central European mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.1308866
11117,Central US forest-grasslands transition,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,8.541124
11197,Central Indochina dry forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,102.735504
11277,Central Korean deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,60.57005
11357,Central Mexican matorral,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,14.891199
11437,Central Pacific Northwest coastal forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,72.03734
11517,Central Persian desert basins,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8495638
11997,Central Tallgrass prairie,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,7.5783663
12077,Central Tibetan Plateau alpine steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,13.505554
12157,Central Zambezian wet miombo woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,32.775772
12237,Cerrado,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,24.59573
12317,Changbai Mountains mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,45.185482
12397,Changjiang Plain evergreen forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,50.957535
12557,Chao Phraya lowland moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,182.06961
12717,Cherskii-Kolyma mountain tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,24.469336
12797,Chhota-Nagpur dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,16.722652
12877,Chiapas Depression dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,32.67345
12957,Chiapas montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,154.9459
13037,Chihuahuan desert,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,7.507892
13117,Chilean Matorral,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,28.218246
13197,Chimalapas montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,136.08475
13277,Chin Hills-Arakan Yoma montane forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,210.91043
13357,Chiquitano dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.827911
13437,Chocó-Darién moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,204.73744
13597,Chukchi Peninsula tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.675019
13837,Colorado Plateau shrublands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.2831545
13917,Colorado Rockies forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,11.2073345
14237,Coolgardie woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.17171112
14317,Copper Plateau taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,51.503464
14397,Cordillera Central páramo,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,83.08039
14637,Cordillera Oriental montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,300.46985
14717,Corsican montane broadleaf and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,54.010418
14877,Crete Mediterranean forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,39.95967
14957,Crimean Submediterranean forest complex,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,13.792664
15037,Cross-Niger transition forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,16.886663
15117,Cross-Sanaga-Bioko coastal forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,18.473127
15197,Cross-Timbers savanna-woodland,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,12.254337
15677,Cyprus Mediterranean forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,6.611955
15757,Da Hinggan-Dzhagdy Mountains conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.5138946
15837,Daba Mountains evergreen forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,110.39107
15917,Daurian forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.820517
16077,Deccan thorn scrub forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,10.013635
16157,Dinaric Mountains mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,44.403156
16237,Djibouti xeric shrublands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,17.558613
16317,Drakensberg Escarpment savanna and thicket,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,37.683643
16397,Drakensberg grasslands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,35.959152
16477,Rock and Ice,N/A,Rainfed_Wheat_residues_removed_from_the_field,57.715805
16557,Dry Chaco,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,5.7927446
16637,East Afghan montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.080555
16717,East African halophytics,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,41.842964
16797,East African mangroves,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,9.557992
17037,East Central Texas forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,10.288789
17117,East Deccan dry-evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,11.533098
17197,East European forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8854418
17437,East Siberian taiga,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.4985962
17517,East Sudanian savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,42.962105
17597,Eastern Anatolian deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.203091
17677,Eastern Anatolian montane steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.4244795
17757,Eastern Australia mulga shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.097884
17837,Eastern Australian temperate forests,Australasia,Rainfed_Wheat_residues_removed_from_the_field,26.005651
17917,Eastern Canadian forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.874554
17997,Eastern Canadian Shield taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,2.1753676
18077,Eastern Cascades forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,8.176772
18237,Eastern Cordillera Real montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,194.17218
18317,Eastern Canadian Forest-Boreal transition,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.755218
18397,Eastern Gobi desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.79025567
18477,Eastern Great Lakes lowland forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,3.8607283
18637,East Deccan moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,40.34467
18717,Eastern Himalayan alpine shrub and meadows,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,64.68
18797,Eastern Himalayan broadleaf forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,329.135
18877,Eastern Himalayan subalpine conifer forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,206.85301
19117,Eastern Mediterranean conifer-broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.968613
19357,Ecuadorian dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,251.73923
19437,Edwards Plateau savanna,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.923719
19517,Einasleigh upland savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,10.703774
19597,Elburz Range forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.875873
19837,Emin Valley steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.3800893
19997,English Lowlands beech forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.5338076
20237,Esperance mallee,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.3261875
20317,Espinal,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,3.3999515
20397,Ethiopian montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,67.2072
20477,Ethiopian montane grasslands and woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,50.596684
20557,Ethiopian montane moorlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,62.395496
20717,Euxine-Colchic broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,19.679482
20797,Everglades flooded grasslands,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,7.1048946
20877,Eyre and York mallee,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.38454401
21277,Fiordland temperate forests,Australasia,Rainfed_Wheat_residues_removed_from_the_field,80.54806
