ECO_NAME,REALM,flow_name,cf
Aegean and Western Turkey sclerophyllous and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,17.42433
Afghan Mountains semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,19.7071
Alai-Western Tian Shan steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.8698072
Alashan Plateau semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.6882883
Alaska-St. Elias Range tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,22.582388
Alaska Peninsula montane taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,39.039284
Albany thickets,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,10.237684
Alberta-British Columbia foothills forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3749001
Albertine Rift montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,79.749176
Allegheny Highlands forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,20.53147
Alps conifer and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,57.951946
Altai alpine meadow and tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,12.53506
Altai montane forest and forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,11.7399645
Altai steppe and semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.1658807
Alto Paraná Atlantic forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,33.753254
Amazon-Orinoco-Southern Caribbean mangroves,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,11.13875
Amur meadow steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.9193022
Anatolian conifer and deciduous mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.37527
Andaman Islands rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,73.420975
Appalachian-Blue Ridge forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,44.54233
Appalachian mixed mesophytic forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,53.54354
Appalachian Piedmont forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,16.309958
Appenine deciduous montane forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,43.856853
Apure-Villavicencio dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,773.63696
Araucaria moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,64.21215
Arctic foothills tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.89058155
Arizona Mountains forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,10.897846
Arnhem Land tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,13.141152
Atlantic Coast restingas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,5.1149774
Atlantic coastal pine barrens,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.8356915
European Atlantic mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3645362
Australian Alps montane grasslands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,21.62065
Azerbaijan shrub desert and steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.520203
Badghyz and Karabil semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.8716927
Bahamian-Antillean mangroves,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,6.2139235
Bahia coastal forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,60.575283
Bahia interior forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,82.93822
Baja California desert,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,29.88434
Bajío dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.304205
Balkan mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,10.1241
Balsas dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,57.798023
Baltic mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.91896725
Baluchistan xeric woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.048971
Beni savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,10.536459
Russian Bering tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.483127
Beringia lowland tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,51.99241
Blue Mountains forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.111993
Bohai Sea saline meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.388088
Bolivian montane dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,107.84229
Bolivian Yungas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,203.14357
Brahmaputra Valley semi-evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,50.520164
Brigalow tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,7.9492645
British Columbia coastal conifer forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,90.99211
Brooks-British Range tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8092127
Caatinga,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,14.019931
Caatinga Enclaves moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,56.3795
Caledon conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,28.793205
California Central Valley grasslands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,2.5433242
California coastal sage and chaparral,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.507933
California interior chaparral and woodlands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,16.65355
California montane chaparral and woodlands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,19.255274
Cameroon Highlands forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,142.40958
Campos Rupestres montane savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,69.408806
Canadian Aspen forests and parklands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.2369041
Canadian Low Arctic tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,0.60852784
Canary Islands dry woodlands and forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,37.26136
Cantabrian mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.944382
Canterbury-Otago tussock grasslands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,9.0465555
Cape York Peninsula tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,15.275565
Caqueta moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,16.009071
Cardamom Mountains rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,298.225
Carnarvon xeric shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.7382392
Carpathian montane forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,12.303891
Carpentaria tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,6.054176
Caspian Hyrcanian mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,11.492458
Caspian lowland desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.34319544
Cauca Valley dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,277.2434
Cauca Valley montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,309.39145
Caucasus mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,33.204018
Celtic broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.0572996
Central Afghan Mountains xeric woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,6.2969427
Central African mangroves,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,13.087823
Central American dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,12.531806
Central American montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,113.755684
Central American pine-oak forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,107.26126
Central Anatolian steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.0067407
Central Anatolian steppe and woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.3739781
Central-Southern Cascades Forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,43.009846
Central-Southern US mixed grasslands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.7170534
Central Andean dry puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,14.792082
Central Andean puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,32.732624
Central Andean wet puna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,39.227905
Central Asian northern desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.25227213
Central Asian riparian woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.13300993
Central Asian southern desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.4612042
Central British Columbia Mountain forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.359002
Central bushveld,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,15.2150345
Central Canadian Shield forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,1.8851693
Central China Loess Plateau mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,25.364885
Central Deccan Plateau dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,9.410548
