ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
1,Albertine Rift montane forests,20,13.8,18,-6.2,-4.2,No
2,Cameroon Highlands forests,20,16.5,18,-3.5,-1.5,No
3,Central Congolian lowland forests,14.2,14.1,12.78,-0.1,1.32,No
4,Comoros forests,20,2.2,18,-17.8,-15.8,No
5,Congolian coastal forests,9.8,11.9,8.82,2.1,3.08,Yes
6,Cross-Niger transition forests,17.3,17.6,15.57,0.3,2.03,Yes
7,Cross-Sanaga-Bioko coastal forests,20,17.4,18,-2.6,-0.6,No
8,East African montane forests,10,9.1,9,-0.9,0.1,No
9,Eastern Arc forests,3.6,4.2,3.24,0.6,0.96,Yes
10,Eastern Congolian swamp forests,14.3,14.4,12.87,0.1,1.53,Yes
11,Eastern Guinean forests,12,12.3,10.8,0.3,1.5,Yes
12,Ethiopian montane forests,20,13.7,18,-6.3,-4.3,No
14,Guinean montane forests,20,10.8,18,-9.2,-7.2,No
15,Knysna-Amatole montane forests,20,0.7,18,-19.3,-17.3,No
16,Kwazulu Natal-Cape coastal forests,1.8,1.9,1.62,0.1,0.28,Yes
17,Madagascar humid forests,3,2.9,2.7,-0.1,0.2,No
18,Madagascar subhumid forests,3.3,3.5,2.97,0.2,0.53,Yes
19,Maputaland coastal forests and woodlands,5.3,4.2,4.77,-1.1,-0.57,No
20,Mascarene forests,20,0.8,18,-19.2,-17.2,No
22,Niger Delta swamp forests,20,16.6,18,-3.4,-1.4,No
23,Nigerian lowland forests,20,16.7,18,-3.3,-1.3,No
24,Northeast Congolian lowland forests,15.4,15.5,13.86,0.1,1.64,Yes
25,Northern Swahili coastal forests,20,3.7,18,-16.3,-14.3,No
26,Northwest Congolian lowland forests,15.2,14.2,13.68,-1,0.52,No
28,Southern Swahili coastal forests and woodlands,20,3,18,-17,-15,No
29,Western Congolian swamp forests,14.3,14.7,12.87,0.4,1.83,Yes
30,Western Guinean lowland forests,11.5,11.9,10.35,0.4,1.55,Yes
32,Madagascar dry deciduous forests,4.3,3.9,3.87,-0.4,0.03,No
33,Zambezian evergreen dry forests,20,6,18,-14,-12,No
34,Angolan mopane woodlands,15,3.6,13.5,-11.4,-9.9,No
35,Angolan scarp savanna and woodlands,15,7.4,13.5,-7.6,-6.1,No
36,Angolan wet miombo woodlands,6.9,7.2,6.21,0.3,0.99,Yes
